-34.0341 17.1792,-19.9964 -28.9331
2.03309 -27.4082,4.21319 14.1336
-14.7125 -10.1455,-7.48853 -32.0166
-32.2069 26.122,-10.0551 -5.31128
-25.6913 -4.5069,14.0783 1.02125
2.35267 12.6275,-6.95335 -7.27424
27.221 -12.7726,-2.37909 -21.1818
-23.9489 -19.9294,5.75592 -30.0766
8.16237 3.78402,-16.5913 -39.1732
23.0535 -12.8464,-17.8103 24.0006
-9.45306 -24.6787,15.5325 3.57546
10.8257 19.2293,-28.0635 -0.267717
13.5518 -5.68001,6.24023 9.91315
-23.9424 22.6334,-7.0149 -24.31
19.2566 -29.8539,-12.037 -27.7269
-33.0008 29.3195,0.490164 -12.8567
-17.2649 -33.1713,-23.4867 6.34735
3.24973 -24.4496,14.5507 -35.3715
-32.0912 6.77162,10.839 -0.49463
-13.4637 -8.02893,23.6169 -7.74325
-17.8032 -1.95305,15.3029 -34.2917
0.0968665 -20.3161,-16.698 11.5771
-25.9771 22.8832,-18.4999 -35.766
-17.8206 -17.2648,0.715382 -0.462476
29.0746 10.1004,-12.3285 -25.4657
8.32927 7.28584,-38.0197 -31.5343
-6.34133 -22.5425,-41.9381 21.0323
-23.8965 6.60987,-36.3742 -16.1242
13.1181 -24.7319,-7.89646 -8.51316
-16.4384 -3.97841,-37.8193 19.778
-16.9261 -33.3582,-14.1591 -6.3157
1.07291 13.8365,-26.6517 6.18548
-6.47528 2.3173,-0.603516 -7.25322
-23.8162 -6.63103,21.731 -41.8753
-5.07927 3.46542,8.7745 11.0776
19.5346 -3.95475,-0.164233 -15.2032
19.7013 -23.2453,-36.2642 -18.9658
20.9945 -33.0986,-25.9249 -18.6743
-28.8464 -16.0063,-28.6831 -11.1998
-20.0526 13.6918,-31.322 -38.0214
-9.35367 18.5743,-31.9229 -12.2646
28.4923 29.224,-22.781 -22.0741
8.3656 -12.825,-2.06196 16.1134
-13.7123 27.759,6.79291 0.584159
-4.19393 -17.3516,21.4628 -37.7504
14.8335 27.2918,-18.6634 -30.2663
-8.27731 -1.23839,-20.8437 -24.8642
26.8288 14.3855,-31.4847 -18.1759
-6.6103 22.9704,-10.6837 -17.3158
-0.329638 -13.4729,-35.687 6.21226
